,Date,Close,High,Low,Open,Volume
0,2010-01-04,0.0,6.439314207324058,6.37567171352294,6.407192752418554,493729600
1,2010-01-05,6.435712814331055,6.472037185269431,6.4017897068824965,6.442317391160505,601904800
2,2010-01-06,6.333343505859375,6.461229308639555,6.326738929835494,6.435712029359036,552160000
3,2010-01-07,6.32163667678833,6.364265823485099,6.275706042823763,6.356760621458933,477131200
4,2010-01-08,6.363663196563721,6.364264013366788,6.276005267512686,6.313229455727773,447610800
5,2010-01-11,6.307528018951416,6.394285748396015,6.257694279757098,6.388281586851676,462229600
6,2010-01-12,6.23577880859375,6.297320660021102,6.196752962752996,6.2799081915167845,594459600
7,2010-01-13,6.323736190795898,6.3321420144830585,6.127105168666667,6.2402811755840935,605892000
8,2010-01-14,6.287112712860107,6.318033738312079,6.274804584770781,6.307526858354621,432894000
9,2010-01-15,6.182043552398682,6.352257927761035,6.180242303904829,6.332143986246346,594067600
10,2010-01-19,6.455525875091553,6.460028995749092,6.221369613076615,6.2540910874193125,730007600
11,2010-01-20,6.3561601638793945,6.47083643636577,6.289214968899267,6.451623521327378,612152800
12,2010-01-21,6.246284484863281,6.403590273377995,6.220467397992989,6.366665891107009,608154400
13,2010-01-22,5.936479091644287,6.229175164957366,5.918767615996459,6.207560984148007,881767600
14,2010-01-25,6.096184730529785,6.145117034148472,6.009726825525188,6.0793734823569965,1065699600
15,2010-01-26,6.182343006134033,6.415599447072696,6.081475507656919,6.182643214179712,1867110000
16,2010-01-27,6.240582466125488,6.321636237504604,5.9899139464243545,6.209661436738208,1722568400
17,2010-01-28,5.982708930969238,6.169134115050728,5.964997458293693,6.15202305845312,1173502400
18,2010-01-29,5.765662670135498,6.070066751926809,5.711326227499761,6.0364442593627325,1245952400
19,2010-02-01,5.845818519592285,5.883944147056317,5.742849545116226,5.774971010519186,749876400
20,2010-02-02,5.879741191864014,5.893550764506423,5.805291586894794,5.881242633180507,698342400
21,2010-02-03,5.980908393859863,6.010028176290331,5.836511516441721,5.859026721229602,615328000
22,2010-02-04,5.7653632164001465,5.955089864062811,5.750953232293537,5.905856553322066,757652000
23,2010-02-05,5.867731094360352,5.883942326910442,5.729338408158305,5.782774632348042,850306800
24,2010-02-08,5.827505588531494,5.940381418058595,5.823903091688999,5.874637453930443,478270800
25,2010-02-09,5.889647006988525,5.928973058747912,5.846417849802574,5.896551391264354,632886800
26,2010-02-10,5.857524394989014,5.901954779473762,5.831707307859159,5.880639610040027,370361600
27,2010-02-11,5.96409797668457,5.996520052471183,5.825705241402799,5.850321906156436,550345600
28,2010-02-12,6.0154314041137695,6.053256816643416,5.868933082776552,5.94728537946355,655468800
29,2010-02-16,6.10609245300293,6.114798085924142,6.049654540203527,6.06226287790162,543737600
